               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,            0.065616,            0.024502,           0.0052919,             0.42275,             0.48986,             0.37601,             0.13811,            0.044446,            0.011368,           0.0038964,             0.00604,             0.00604,             0.00604
                  22,            0.056707,            0.025177,           0.0041778,             0.53039,             0.52318,             0.45967,             0.20155,             0.04738,            0.010847,           0.0050526,            0.005842,            0.005842,            0.005842
                  23,            0.057427,            0.026156,           0.0045604,             0.53457,             0.45033,             0.44772,             0.19648,            0.042431,            0.010852,            0.003423,            0.005644,            0.005644,            0.005644
                  24,            0.055701,            0.024938,           0.0035421,             0.51905,             0.60751,             0.52137,             0.19421,            0.037269,            0.011622,           0.0033462,            0.005446,            0.005446,            0.005446
                  25,            0.054254,             0.02432,           0.0034533,             0.34817,             0.56952,              0.4002,             0.12653,            0.039146,            0.011829,           0.0031003,            0.005248,            0.005248,            0.005248
                  26,            0.056277,             0.02232,            0.003329,             0.38622,             0.66887,             0.46455,              0.2254,            0.043332,            0.010732,           0.0030128,             0.00505,             0.00505,             0.00505
                  27,            0.052715,             0.02338,           0.0033157,             0.54933,             0.62252,             0.53706,             0.20135,            0.038558,            0.010774,           0.0028715,            0.004852,            0.004852,            0.004852
                  28,             0.05384,            0.024196,            0.003218,              0.6528,              0.6755,             0.64176,             0.32336,            0.033965,            0.011229,           0.0027313,            0.004654,            0.004654,            0.004654
                  29,            0.050488,            0.024098,           0.0030354,             0.52628,             0.60927,             0.53306,             0.23479,            0.037118,            0.010787,           0.0026211,            0.004456,            0.004456,            0.004456
                  30,            0.055192,             0.02373,           0.0033077,              0.5044,             0.72793,             0.59538,             0.30815,            0.032245,            0.010707,           0.0025927,            0.004258,            0.004258,            0.004258
                  31,            0.043736,            0.025202,            0.002758,              0.6862,             0.69536,             0.67598,             0.35062,            0.033855,            0.010499,           0.0025665,             0.00406,             0.00406,             0.00406
                  32,            0.043591,            0.023137,           0.0024707,             0.60578,              0.7947,             0.67477,             0.35424,            0.032695,            0.010472,           0.0026045,            0.003862,            0.003862,            0.003862
                  33,            0.045847,            0.022423,           0.0022293,             0.52868,             0.66887,             0.56805,             0.28926,            0.034768,            0.010142,           0.0027178,            0.003664,            0.003664,            0.003664
                  34,            0.046072,            0.023059,           0.0024795,             0.71598,             0.73458,             0.72578,             0.38135,            0.034454,            0.010445,           0.0027183,            0.003466,            0.003466,            0.003466
                  35,            0.036304,            0.019309,           0.0019941,             0.77124,             0.76821,             0.78614,             0.44487,            0.029628,            0.010483,           0.0025507,            0.003268,            0.003268,            0.003268
                  36,            0.048418,            0.023098,            0.002391,             0.45436,             0.76159,             0.54178,             0.25692,            0.034267,            0.010283,           0.0024833,             0.00307,             0.00307,             0.00307
                  37,            0.048616,            0.022256,           0.0021872,              0.8229,             0.70777,             0.77383,             0.42512,            0.033128,            0.010116,           0.0023733,            0.002872,            0.002872,            0.002872
                  38,             0.04607,            0.022177,           0.0025224,             0.65064,             0.72768,             0.65468,             0.32901,            0.031774,            0.010198,           0.0022753,            0.002674,            0.002674,            0.002674
                  39,             0.04583,            0.019426,           0.0026842,             0.81551,             0.76113,             0.78063,             0.43397,            0.030663,            0.010088,           0.0022911,            0.002476,            0.002476,            0.002476
                  40,            0.041123,            0.021517,           0.0023117,             0.85067,             0.75453,             0.77238,             0.46021,            0.028201,            0.010321,            0.002319,            0.002278,            0.002278,            0.002278
                  41,            0.039287,            0.020873,           0.0021416,             0.76843,             0.74834,              0.7497,             0.41783,            0.029315,            0.010332,            0.002291,             0.00208,             0.00208,             0.00208
                  42,            0.039117,            0.022292,           0.0024541,             0.79568,             0.74793,             0.76225,             0.44865,            0.027743,            0.010472,           0.0022432,            0.001882,            0.001882,            0.001882
                  43,            0.037328,            0.021409,           0.0019657,             0.77569,              0.7351,             0.75611,             0.46307,             0.02668,            0.010275,           0.0021553,            0.001684,            0.001684,            0.001684
                  44,            0.037734,            0.020969,            0.001873,             0.78645,             0.70861,             0.75439,             0.46703,            0.026043,            0.010146,           0.0021239,            0.001486,            0.001486,            0.001486
                  45,            0.034168,            0.018794,            0.001659,             0.81845,             0.72848,             0.76795,              0.4709,            0.026074,           0.0099369,           0.0021039,            0.001288,            0.001288,            0.001288
                  46,            0.036013,             0.02262,           0.0018358,             0.85229,             0.72848,             0.80363,               0.519,            0.024491,           0.0097378,           0.0020642,             0.00109,             0.00109,             0.00109
                  47,            0.038337,             0.02207,           0.0019311,             0.82125,              0.7947,             0.81994,             0.53013,            0.024008,            0.009585,           0.0020241,            0.000892,            0.000892,            0.000892
                  48,            0.035089,            0.021095,           0.0017029,             0.81343,             0.78146,             0.83022,             0.54127,            0.023639,           0.0095366,           0.0020982,            0.000694,            0.000694,            0.000694
                  49,            0.033151,            0.019463,           0.0015077,             0.87708,             0.76159,             0.84162,             0.54972,            0.023369,           0.0094643,            0.002154,            0.000496,            0.000496,            0.000496
