               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12053,            0.037625,            0.074456,                   0,                   0,                   0,                   0,            0.086277,            0.029315,            0.053918,              0.0006,              0.0006,              0.0946
                   1,             0.11025,            0.037777,             0.06847,             0.19326,              0.1069,             0.04694,           0.0067467,            0.074548,            0.028296,            0.044085,           0.0012743,           0.0012743,            0.088274
                   2,            0.094099,            0.036275,            0.053532,             0.19054,             0.32353,             0.13748,            0.044692,            0.061063,            0.025146,            0.034567,           0.0019208,           0.0019208,            0.081921
                   3,            0.080461,            0.036179,            0.044057,              0.3784,             0.24356,             0.27998,            0.065703,             0.05585,            0.023054,            0.026406,           0.0025396,           0.0025396,             0.07554
                   4,            0.078551,            0.033376,            0.030674,             0.61087,             0.32654,             0.37976,             0.12214,            0.050741,            0.021554,            0.014855,           0.0031307,           0.0031307,            0.069131
                   5,            0.070575,             0.03127,            0.022312,             0.53857,             0.43056,             0.47706,             0.15765,            0.045421,            0.021925,           0.0090576,           0.0036941,           0.0036941,            0.062694
                   6,            0.074343,            0.028061,             0.01588,             0.42346,             0.44265,             0.41463,             0.13579,            0.052133,            0.015458,           0.0081082,           0.0042298,           0.0042298,             0.05623
                   7,            0.069653,            0.025913,            0.010805,             0.41519,             0.49007,             0.38482,             0.13176,            0.053741,            0.013371,           0.0085774,           0.0047377,           0.0047377,            0.049738
                   8,            0.077759,             0.02588,           0.0088411,             0.32014,             0.17881,             0.16196,            0.046203,            0.056152,            0.011594,           0.0061354,           0.0052179,           0.0052179,            0.043218
                   9,            0.075103,            0.026265,           0.0082501,             0.26701,             0.27743,             0.21071,            0.070936,            0.058747,            0.010798,           0.0046768,           0.0056704,           0.0056704,             0.03667
                  10,            0.073563,            0.024643,           0.0067965,             0.49048,             0.36976,             0.35862,             0.10791,            0.059237,            0.011595,           0.0035789,           0.0060952,           0.0060952,            0.030095
                  11,            0.080101,            0.021741,            0.006812,             0.41875,             0.53913,             0.44819,              0.1784,            0.060924,            0.011124,           0.0033377,           0.0064923,           0.0064923,            0.023492
                  12,            0.080149,              0.0191,           0.0066329,             0.44762,             0.46358,             0.37203,             0.13094,            0.058905,            0.010762,           0.0035396,           0.0068616,           0.0068616,            0.016862
                  13,            0.078053,            0.019731,           0.0062403,             0.73538,             0.58894,             0.62173,             0.22341,            0.055614,           0.0098474,           0.0041362,           0.0072032,           0.0072032,            0.010203
                  14,            0.068025,             0.02165,           0.0055404,             0.62566,             0.57556,             0.51834,             0.20154,            0.053238,           0.0093121,           0.0046055,            0.007228,            0.007228,            0.007228
                  15,            0.071659,            0.022685,           0.0047954,             0.58922,             0.62696,             0.58273,             0.24301,             0.05131,            0.009589,           0.0038918,            0.007228,            0.007228,            0.007228
                  16,            0.070822,            0.020713,           0.0043731,             0.36069,             0.54967,             0.30665,            0.086435,            0.058214,           0.0088237,           0.0041042,             0.00703,             0.00703,             0.00703
                  17,            0.080554,            0.020668,           0.0051321,             0.41189,              0.5894,             0.39056,             0.11718,            0.055736,           0.0097381,           0.0035564,            0.006832,            0.006832,            0.006832
                  18,            0.074773,            0.023254,           0.0048236,             0.50831,              0.5894,             0.48588,             0.15157,            0.048954,            0.011232,           0.0027954,            0.006634,            0.006634,            0.006634
                  19,            0.062526,            0.023989,           0.0044853,              0.4675,             0.62211,             0.46729,             0.15809,            0.053122,             0.01152,            0.002816,            0.006436,            0.006436,            0.006436
                  20,            0.070232,            0.022989,           0.0051228,             0.45873,             0.55629,             0.40722,             0.14403,            0.048448,            0.011334,           0.0029809,            0.006238,            0.006238,            0.006238
